code,food,Chakula,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
407,"Cucumber, with peel, raw",Tango,5,19,21,29,29,6,4,19,11,22,44,10,15,0.65,0,0,0.11,3.63,0.037,0.005,0.032,0,0.5,1.67,0,16,21,13,147,2,0.3,0,0.2,0.03,0.08,5,0,0,0.03,2.8,0.027,0.033,0.098,0.04,7,0,0.259
408,"Egg plant, raw",Biringanya,24,130,175,306,173,51,32,168,116,196,196,87,24,1.01,0,0,0.19,5.7,0.034,0.016,0.076,0,3.4,2.35,0,9,25,14,230,2,0.4,0,0.1,0.11,0.3,1,0,0,0.3,2.2,0.039,0.037,0.649,0.084,22,0,0.281
409,Cassava leaf,(Majani ya mhogo),7,24,35,36,33,7,6,22,12,30,40,14,37,3.7,0,0,0.2,7.3,0,0,0.1,0,0.6,0,42,211,72,62,550,11,3.1,0,0.4,0.19,0.12,519,0,0,0,33,0.09,0.19,0.9,0.54,104,0,0.25
410,Cowpea leaf,Majani ya kunde,8,30,36,52,39,9,4,35,22,43,46,19,37,9.3,0,0,0.8,7.3,0,0,0.1,0,3.3,0,42,49.7,72,62,248,5.7,0.8,0,1.4,0.19,0.12,519,0,0,0,32.4,0.09,8.3,0.9,0.54,104,0,0.25
411,"Green medium, leaf",Mboga za majani,24,130,175,306,173,51,32,168,116,196,196,87,15,2.3,0,0,0.2,2.1,0,0.1,0,0,2,0,42,74,41,15,202,16,1.1,0,0.2,0.06,0.29,303,0,0,2,25,0.04,0.06,0.4,0.11,73,0,0.02
412,"Pumpkin leaf, raw",Majani ya maboga,20,63,59,105,74,26,13,70,44,78,72,28,19,7,0,0,0.7,9,0.207,0.052,0.022,0,4.4,0,42,114.5,29,28.4,203,29,0.63,0,1.1,0.25,0.34,550,0,0,2,24.5,0,8.5,0.4,0.18,118,0,0.27
413,"Taro leaf, raw",Majani ya maghimbi,23,69,54,111,67,20,32,82,55,82,103,34,42,4.98,0,0,0.74,6.7,0.151,0.06,0.307,0,3.7,3.01,0,137,29,22,203,29,0.8,0,0.1,0.25,0.34,241,0,0,2.02,52,0.209,0.456,1.513,0.146,126,0,0.084
414,Lettuce,Mboga ya majani,20,63,59,105,74,26,13,70,44,78,72,28,13,1,0,0,0.2,2.1,0,0,0.1,0,1.4,0.1,0,19,20,9,158,9,0.5,0,0.2,0.03,0.15,33,0,0,0,4,0.05,0.03,0.2,0.04,56,0,0.05
415,Mushroom,Uyoga,25,60,82,69,103,21,34,60,119,88,165,40,27,2.2,0,0,0.5,5.1,0.1,0,0.2,0,2.2,0.2,0,3,86,9,318,5,0.5,0,0.5,0.3,0,0,0,2,0,4,0.07,0.3,4.5,0.1,18,0,2.16
416,"Okra, raw",Bamia,20,63,59,105,74,26,13,70,44,78,72,28,31,2,0,0,0.1,7.03,0.026,0.017,0.027,0,3.2,1.2,77,81,63,57,303,0.6,0.8,0,0.6,0.1,1,19,0,0,0.36,21.1,0.2,0.06,1,0.215,88,0,0.245
417,"Onion, raw",Kitungu,8,53,75,70,75,14,14,49,29,62,63,20,40,1.3,0,0,0.2,9.2,0,0,0.1,0,1.3,1.2,0,23,29,10,146,4,0.2,0,0.2,0,0.14,0,0,0,0.02,7.4,0.046,0.027,0.116,0.12,19,0,0.123
418,"Pea, green, fresh",Njegere mbichi,51,101,89,137,227,43,6,88,48,103,111,60,84,5.4,0,0,0.2,15.6,0,0,0.1,0,5.5,4.8,28,27,117,39,271,3,1.5,0,1.2,0.17,0.53,60,0,0,0,14,0.26,0.15,2,0.22,63,0,0.15
